"path","exact","attributes_exact","max_absolute","changed_finite","nonfinite_exact"
"/color TRUE/all/r",TRUE,TRUE,0,0,TRUE
"/color TRUE/all/g",TRUE,TRUE,0,0,TRUE
"/color TRUE/all/b",TRUE,TRUE,0,0,TRUE
"/color TRUE/all/a",TRUE,TRUE,0,0,TRUE
"/color TRUE/all/amb",TRUE,TRUE,0,0,TRUE
"/color TRUE/all/depth",TRUE,TRUE,0,0,TRUE
"/color TRUE/all/linear_depth",TRUE,TRUE,0,0,TRUE
"/color TRUE/all/normalx",TRUE,TRUE,0,0,TRUE
"/color TRUE/all/normaly",TRUE,TRUE,0,0,TRUE
"/color TRUE/all/normalz",TRUE,TRUE,0,0,TRUE
"/color TRUE/all/positionx",TRUE,TRUE,0,0,TRUE
"/color TRUE/all/positiony",TRUE,TRUE,0,0,TRUE
"/color TRUE/all/positionz",TRUE,TRUE,0,0,TRUE
"/color TRUE/all/uvx",TRUE,TRUE,0,0,TRUE
"/color TRUE/all/uvy",TRUE,TRUE,0,0,TRUE
"/color TRUE/all/uvz",TRUE,TRUE,0,0,TRUE
"/color TRUE/raw_depth",TRUE,TRUE,0,0,TRUE
"/color TRUE/normals",TRUE,TRUE,0,0,TRUE
"/color TRUE/uv",TRUE,TRUE,0,0,TRUE
"/color TRUE/position",TRUE,TRUE,0,0,TRUE
"/color TRUE/depth",TRUE,TRUE,0,0,TRUE
"/toon FALSE/none",TRUE,TRUE,0,0,TRUE
"/toon FALSE/all/r",TRUE,TRUE,0,0,TRUE
"/toon FALSE/all/g",TRUE,TRUE,0,0,TRUE
"/toon FALSE/all/b",TRUE,TRUE,0,0,TRUE
"/toon FALSE/all/a",TRUE,TRUE,0,0,TRUE
"/toon FALSE/all/amb",TRUE,TRUE,0,0,TRUE
"/toon FALSE/all/depth",TRUE,TRUE,0,0,TRUE
"/toon FALSE/all/linear_depth",TRUE,TRUE,0,0,TRUE
"/toon FALSE/all/normalx",TRUE,TRUE,0,0,TRUE
"/toon FALSE/all/normaly",TRUE,TRUE,0,0,TRUE
"/toon FALSE/all/normalz",TRUE,TRUE,0,0,TRUE
"/toon FALSE/all/positionx",TRUE,TRUE,0,0,TRUE
"/toon FALSE/all/positiony",TRUE,TRUE,0,0,TRUE
"/toon FALSE/all/positionz",TRUE,TRUE,0,0,TRUE
"/toon FALSE/all/uvx",TRUE,TRUE,0,0,TRUE
"/toon FALSE/all/uvy",TRUE,TRUE,0,0,TRUE
"/toon FALSE/all/uvz",TRUE,TRUE,0,0,TRUE
"/toon FALSE/raw_depth",TRUE,TRUE,0,0,TRUE
"/toon FALSE/normals",TRUE,TRUE,0,0,TRUE
"/toon FALSE/uv",TRUE,TRUE,0,0,TRUE
"/toon FALSE/position",TRUE,TRUE,0,0,TRUE
"/toon FALSE/depth",TRUE,TRUE,0,0,TRUE
"/toon TRUE/none",TRUE,TRUE,0,0,TRUE
"/toon TRUE/all/r",TRUE,TRUE,0,0,TRUE
"/toon TRUE/all/g",TRUE,TRUE,0,0,TRUE
"/toon TRUE/all/b",TRUE,TRUE,0,0,TRUE
"/toon TRUE/all/a",TRUE,TRUE,0,0,TRUE
"/toon TRUE/all/amb",TRUE,TRUE,0,0,TRUE
"/toon TRUE/all/depth",TRUE,TRUE,0,0,TRUE
"/toon TRUE/all/linear_depth",TRUE,TRUE,0,0,TRUE
"/toon TRUE/all/normalx",TRUE,TRUE,0,0,TRUE
"/toon TRUE/all/normaly",TRUE,TRUE,0,0,TRUE
"/toon TRUE/all/normalz",TRUE,TRUE,0,0,TRUE
"/toon TRUE/all/positionx",TRUE,TRUE,0,0,TRUE
"/toon TRUE/all/positiony",TRUE,TRUE,0,0,TRUE
"/toon TRUE/all/positionz",TRUE,TRUE,0,0,TRUE
"/toon TRUE/all/uvx",TRUE,TRUE,0,0,TRUE
"/toon TRUE/all/uvy",TRUE,TRUE,0,0,TRUE
"/toon TRUE/all/uvz",TRUE,TRUE,0,0,TRUE
"/toon TRUE/raw_depth",TRUE,TRUE,0,0,TRUE
"/toon TRUE/normals",TRUE,TRUE,0,0,TRUE
"/toon TRUE/uv",TRUE,TRUE,0,0,TRUE
"/toon TRUE/position",TRUE,TRUE,0,0,TRUE
"/toon TRUE/depth",TRUE,TRUE,0,0,TRUE
"/toon_phong FALSE/none",TRUE,TRUE,0,0,TRUE
"/toon_phong FALSE/all/r",TRUE,TRUE,0,0,TRUE
"/toon_phong FALSE/all/g",TRUE,TRUE,0,0,TRUE
"/toon_phong FALSE/all/b",TRUE,TRUE,0,0,TRUE
"/toon_phong FALSE/all/a",TRUE,TRUE,0,0,TRUE
"/toon_phong FALSE/all/amb",TRUE,TRUE,0,0,TRUE
"/toon_phong FALSE/all/depth",TRUE,TRUE,0,0,TRUE
"/toon_phong FALSE/all/linear_depth",TRUE,TRUE,0,0,TRUE
"/toon_phong FALSE/all/normalx",TRUE,TRUE,0,0,TRUE
"/toon_phong FALSE/all/normaly",TRUE,TRUE,0,0,TRUE
"/toon_phong FALSE/all/normalz",TRUE,TRUE,0,0,TRUE
"/toon_phong FALSE/all/positionx",TRUE,TRUE,0,0,TRUE
"/toon_phong FALSE/all/positiony",TRUE,TRUE,0,0,TRUE
"/toon_phong FALSE/all/positionz",TRUE,TRUE,0,0,TRUE
"/toon_phong FALSE/all/uvx",TRUE,TRUE,0,0,TRUE
"/toon_phong FALSE/all/uvy",TRUE,TRUE,0,0,TRUE
"/toon_phong FALSE/all/uvz",TRUE,TRUE,0,0,TRUE
"/toon_phong FALSE/raw_depth",TRUE,TRUE,0,0,TRUE
"/toon_phong FALSE/normals",TRUE,TRUE,0,0,TRUE
"/toon_phong FALSE/uv",TRUE,TRUE,0,0,TRUE
"/toon_phong FALSE/position",TRUE,TRUE,0,0,TRUE
"/toon_phong FALSE/depth",TRUE,TRUE,0,0,TRUE
"/toon_phong TRUE/none",TRUE,TRUE,0,0,TRUE
"/toon_phong TRUE/all/r",TRUE,TRUE,0,0,TRUE
"/toon_phong TRUE/all/g",TRUE,TRUE,0,0,TRUE
"/toon_phong TRUE/all/b",TRUE,TRUE,0,0,TRUE
"/toon_phong TRUE/all/a",TRUE,TRUE,0,0,TRUE
"/toon_phong TRUE/all/amb",TRUE,TRUE,0,0,TRUE
"/toon_phong TRUE/all/depth",TRUE,TRUE,0,0,TRUE
"/toon_phong TRUE/all/linear_depth",TRUE,TRUE,0,0,TRUE
"/toon_phong TRUE/all/normalx",TRUE,TRUE,0,0,TRUE
"/toon_phong TRUE/all/normaly",TRUE,TRUE,0,0,TRUE
"/toon_phong TRUE/all/normalz",TRUE,TRUE,0,0,TRUE
"/toon_phong TRUE/all/positionx",TRUE,TRUE,0,0,TRUE
"/toon_phong TRUE/all/positiony",TRUE,TRUE,0,0,TRUE
"/toon_phong TRUE/all/positionz",TRUE,TRUE,0,0,TRUE
"/toon_phong TRUE/all/uvx",TRUE,TRUE,0,0,TRUE
"/toon_phong TRUE/all/uvy",TRUE,TRUE,0,0,TRUE
"/toon_phong TRUE/all/uvz",TRUE,TRUE,0,0,TRUE
"/toon_phong TRUE/raw_depth",TRUE,TRUE,0,0,TRUE
"/toon_phong TRUE/normals",TRUE,TRUE,0,0,TRUE
"/toon_phong TRUE/uv",TRUE,TRUE,0,0,TRUE
"/toon_phong TRUE/position",TRUE,TRUE,0,0,TRUE
"/toon_phong TRUE/depth",TRUE,TRUE,0,0,TRUE
"/ssao/none",TRUE,TRUE,0,0,TRUE
"/ssao/all/r",TRUE,TRUE,0,0,TRUE
"/ssao/all/g",TRUE,TRUE,0,0,TRUE
"/ssao/all/b",TRUE,TRUE,0,0,TRUE
"/ssao/all/a",TRUE,TRUE,0,0,TRUE
"/ssao/all/amb",TRUE,TRUE,0,0,TRUE
"/ssao/all/depth",TRUE,TRUE,0,0,TRUE
"/ssao/all/linear_depth",TRUE,TRUE,0,0,TRUE
"/ssao/all/normalx",TRUE,TRUE,0,0,TRUE
"/ssao/all/normaly",TRUE,TRUE,0,0,TRUE
"/ssao/all/normalz",TRUE,TRUE,0,0,TRUE
"/ssao/all/positionx",TRUE,TRUE,0,0,TRUE
"/ssao/all/positiony",TRUE,TRUE,0,0,TRUE
"/ssao/all/positionz",TRUE,TRUE,0,0,TRUE
"/ssao/all/uvx",TRUE,TRUE,0,0,TRUE
"/ssao/all/uvy",TRUE,TRUE,0,0,TRUE
"/ssao/all/uvz",TRUE,TRUE,0,0,TRUE
"/ssao/raw_depth",TRUE,TRUE,0,0,TRUE
"/ssao/normals",TRUE,TRUE,0,0,TRUE
"/ssao/uv",TRUE,TRUE,0,0,TRUE
"/ssao/position",TRUE,TRUE,0,0,TRUE
"/ssao/depth",TRUE,TRUE,0,0,TRUE
"/orthographic/none",TRUE,TRUE,0,0,TRUE
"/orthographic/all/r",TRUE,TRUE,0,0,TRUE
"/orthographic/all/g",TRUE,TRUE,0,0,TRUE
"/orthographic/all/b",TRUE,TRUE,0,0,TRUE
"/orthographic/all/a",TRUE,TRUE,0,0,TRUE
"/orthographic/all/amb",TRUE,TRUE,0,0,TRUE
"/orthographic/all/depth",TRUE,TRUE,0,0,TRUE
"/orthographic/all/linear_depth",TRUE,TRUE,0,0,TRUE
"/orthographic/all/normalx",TRUE,TRUE,0,0,TRUE
"/orthographic/all/normaly",TRUE,TRUE,0,0,TRUE
"/orthographic/all/normalz",TRUE,TRUE,0,0,TRUE
"/orthographic/all/positionx",TRUE,TRUE,0,0,TRUE
"/orthographic/all/positiony",TRUE,TRUE,0,0,TRUE
"/orthographic/all/positionz",TRUE,TRUE,0,0,TRUE
"/orthographic/all/uvx",TRUE,TRUE,0,0,TRUE
"/orthographic/all/uvy",TRUE,TRUE,0,0,TRUE
"/orthographic/all/uvz",TRUE,TRUE,0,0,TRUE
"/orthographic/raw_depth",TRUE,TRUE,0,0,TRUE
"/orthographic/normals",TRUE,TRUE,0,0,TRUE
"/orthographic/uv",TRUE,TRUE,0,0,TRUE
"/orthographic/position",TRUE,TRUE,0,0,TRUE
"/orthographic/depth",TRUE,TRUE,0,0,TRUE
"/fsaa2/none",TRUE,TRUE,0,0,TRUE
"/fsaa2/all/r",TRUE,TRUE,0,0,TRUE
"/fsaa2/all/g",TRUE,TRUE,0,0,TRUE
"/fsaa2/all/b",TRUE,TRUE,0,0,TRUE
"/fsaa2/all/a",TRUE,TRUE,0,0,TRUE
"/fsaa2/all/amb",TRUE,TRUE,0,0,TRUE
"/fsaa2/all/depth",TRUE,TRUE,0,0,TRUE
"/fsaa2/all/linear_depth",TRUE,TRUE,0,0,TRUE
"/fsaa2/all/normalx",TRUE,TRUE,0,0,TRUE
"/fsaa2/all/normaly",TRUE,TRUE,0,0,TRUE
"/fsaa2/all/normalz",TRUE,TRUE,0,0,TRUE
"/fsaa2/all/positionx",TRUE,TRUE,0,0,TRUE
"/fsaa2/all/positiony",TRUE,TRUE,0,0,TRUE
"/fsaa2/all/positionz",TRUE,TRUE,0,0,TRUE
"/fsaa2/all/uvx",TRUE,TRUE,0,0,TRUE
"/fsaa2/all/uvy",TRUE,TRUE,0,0,TRUE
"/fsaa2/all/uvz",TRUE,TRUE,0,0,TRUE
"/fsaa2/raw_depth",TRUE,TRUE,0,0,TRUE
"/fsaa2/normals",TRUE,TRUE,0,0,TRUE
"/fsaa2/uv",TRUE,TRUE,0,0,TRUE
"/fsaa2/position",TRUE,TRUE,0,0,TRUE
"/fsaa2/depth",TRUE,TRUE,0,0,TRUE
"/portrait/none",TRUE,TRUE,0,0,TRUE
"/portrait/all/r",TRUE,TRUE,0,0,TRUE
"/portrait/all/g",TRUE,TRUE,0,0,TRUE
"/portrait/all/b",TRUE,TRUE,0,0,TRUE
"/portrait/all/a",TRUE,TRUE,0,0,TRUE
"/portrait/all/amb",TRUE,TRUE,0,0,TRUE
"/portrait/all/depth",TRUE,TRUE,0,0,TRUE
"/portrait/all/linear_depth",TRUE,TRUE,0,0,TRUE
"/portrait/all/normalx",TRUE,TRUE,0,0,TRUE
"/portrait/all/normaly",TRUE,TRUE,0,0,TRUE
"/portrait/all/normalz",TRUE,TRUE,0,0,TRUE
"/portrait/all/positionx",TRUE,TRUE,0,0,TRUE
"/portrait/all/positiony",TRUE,TRUE,0,0,TRUE
"/portrait/all/positionz",TRUE,TRUE,0,0,TRUE
"/portrait/all/uvx",TRUE,TRUE,0,0,TRUE
"/portrait/all/uvy",TRUE,TRUE,0,0,TRUE
"/portrait/all/uvz",TRUE,TRUE,0,0,TRUE
"/portrait/raw_depth",TRUE,TRUE,0,0,TRUE
"/portrait/normals",TRUE,TRUE,0,0,TRUE
"/portrait/uv",TRUE,TRUE,0,0,TRUE
"/portrait/position",TRUE,TRUE,0,0,TRUE
"/portrait/depth",TRUE,TRUE,0,0,TRUE
"/empty/none",TRUE,TRUE,0,0,TRUE
"/empty/all/r",TRUE,TRUE,0,0,TRUE
"/empty/all/g",TRUE,TRUE,0,0,TRUE
"/empty/all/b",TRUE,TRUE,0,0,TRUE
"/empty/all/a",TRUE,TRUE,0,0,TRUE
"/empty/all/amb",TRUE,TRUE,0,0,TRUE
"/empty/all/depth",TRUE,TRUE,0,0,TRUE
"/empty/all/linear_depth",TRUE,TRUE,0,0,TRUE
"/empty/all/normalx",TRUE,TRUE,0,0,TRUE
"/empty/all/normaly",TRUE,TRUE,0,0,TRUE
"/empty/all/normalz",TRUE,TRUE,0,0,TRUE
"/empty/all/positionx",TRUE,TRUE,0,0,TRUE
"/empty/all/positiony",TRUE,TRUE,0,0,TRUE
"/empty/all/positionz",TRUE,TRUE,0,0,TRUE
"/empty/all/uvx",TRUE,TRUE,0,0,TRUE
"/empty/all/uvy",TRUE,TRUE,0,0,TRUE
"/empty/all/uvz",TRUE,TRUE,0,0,TRUE
"/empty/raw_depth",TRUE,TRUE,0,0,TRUE
"/empty/normals",TRUE,TRUE,0,0,TRUE
