"case","buffer","exact","max_absolute","mean_absolute","changed_samples","nonfinite_mismatch","attributes_identical"
"orthographic/all","normalx",TRUE,0,0,0,0,TRUE
"orthographic/all","normaly",TRUE,0,0,0,0,TRUE
"orthographic/all","normalz",TRUE,0,0,0,0,TRUE
"orthographic/all","positionx",TRUE,0,0,0,0,TRUE
"orthographic/all","positiony",TRUE,0,0,0,0,TRUE
"orthographic/all","positionz",TRUE,0,0,0,0,TRUE
"orthographic/all","uvx",TRUE,0,0,0,0,TRUE
"orthographic/all","uvy",TRUE,0,0,0,0,TRUE
"orthographic/all","uvz",TRUE,0,0,0,0,TRUE
"orthographic/raw_depth","image",FALSE,4.0168521773447,1.67759397594359,1551,0,TRUE
"orthographic/normals","image",TRUE,0,0,0,0,TRUE
"orthographic/uv","image",TRUE,0,0,0,0,TRUE
"orthographic/position","image",TRUE,0,0,0,0,TRUE
"orthographic/depth","image",FALSE,0.168638163284026,0.0287474022592741,2274,0,TRUE
"fsaa2/none","image",TRUE,0,0,0,0,TRUE
"fsaa2/all","r",TRUE,0,0,0,0,TRUE
"fsaa2/all","g",TRUE,0,0,0,0,TRUE
"fsaa2/all","b",TRUE,0,0,0,0,TRUE
"fsaa2/all","a",TRUE,0,0,0,0,TRUE
"fsaa2/all","amb",TRUE,0,0,0,0,TRUE
"fsaa2/all","depth",TRUE,0,0,0,0,TRUE
"fsaa2/all","linear_depth",TRUE,0,0,0,0,TRUE
"fsaa2/all","normalx",TRUE,0,0,0,0,TRUE
"fsaa2/all","normaly",TRUE,0,0,0,0,TRUE
"fsaa2/all","normalz",TRUE,0,0,0,0,TRUE
"fsaa2/all","positionx",TRUE,0,0,0,0,TRUE
"fsaa2/all","positiony",TRUE,0,0,0,0,TRUE
"fsaa2/all","positionz",TRUE,0,0,0,0,TRUE
"fsaa2/all","uvx",TRUE,0,0,0,0,TRUE
"fsaa2/all","uvy",TRUE,0,0,0,0,TRUE
"fsaa2/all","uvz",TRUE,0,0,0,0,TRUE
"fsaa2/raw_depth","image",TRUE,0,0,0,0,TRUE
"fsaa2/normals","image",TRUE,0,0,0,0,TRUE
"fsaa2/uv","image",TRUE,0,0,0,0,TRUE
"fsaa2/position","image",TRUE,0,0,0,0,TRUE
"fsaa2/depth","image",TRUE,0,0,0,0,TRUE
"portrait/none","image",TRUE,0,0,0,0,TRUE
"portrait/all","r",TRUE,0,0,0,0,TRUE
"portrait/all","g",TRUE,0,0,0,0,TRUE
"portrait/all","b",TRUE,0,0,0,0,TRUE
"portrait/all","a",TRUE,0,0,0,0,TRUE
"portrait/all","amb",TRUE,0,0,0,0,TRUE
"portrait/all","depth",TRUE,0,0,0,0,TRUE
"portrait/all","linear_depth",TRUE,0,0,0,0,TRUE
"portrait/all","normalx",TRUE,0,0,0,0,TRUE
"portrait/all","normaly",TRUE,0,0,0,0,TRUE
"portrait/all","normalz",TRUE,0,0,0,0,TRUE
"portrait/all","positionx",TRUE,0,0,0,0,TRUE
"portrait/all","positiony",TRUE,0,0,0,0,TRUE
"portrait/all","positionz",TRUE,0,0,0,0,TRUE
"portrait/all","uvx",TRUE,0,0,0,0,TRUE
"portrait/all","uvy",TRUE,0,0,0,0,TRUE
"portrait/all","uvz",TRUE,0,0,0,0,TRUE
"portrait/raw_depth","image",TRUE,0,0,0,0,TRUE
"portrait/normals","image",TRUE,0,0,0,0,TRUE
"portrait/uv","image",TRUE,0,0,0,0,TRUE
"portrait/position","image",TRUE,0,0,0,0,TRUE
"portrait/depth","image",TRUE,0,0,0,0,TRUE
"empty/none","image",TRUE,0,0,0,0,TRUE
"empty/all","r",TRUE,0,0,0,0,TRUE
"empty/all","g",TRUE,0,0,0,0,TRUE
"empty/all","b",TRUE,0,0,0,0,TRUE
"empty/all","a",TRUE,0,0,0,0,TRUE
"empty/all","amb",TRUE,0,0,0,0,TRUE
"empty/all","depth",TRUE,0,0,0,0,TRUE
"empty/all","linear_depth",TRUE,0,0,0,0,TRUE
"empty/all","normalx",TRUE,0,0,0,0,TRUE
"empty/all","normaly",TRUE,0,0,0,0,TRUE
"empty/all","normalz",TRUE,0,0,0,0,TRUE
